sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
162347,593.29,194,คิเรอิ,Kirei,คิเรอิโฟมล้างมือลาเวนเดอร์ถุงเติม200มล.
162321,524.67,144,คิเรอิ,Kirei,คิเรอิโฟมล้างมือเบอร์รีถุงเติม200มล.
162461,586.81,201,คิเรอิ,Kirei,คิเรอิโฟมล้างมือพีชถุงเติม200มล
162487,593.28,197,คิเรอิ,Kirei,คิเรอิโฟมล้างมือเกรปถุงเติม200มล
162446,593.29,202,คิเรอิ,Kirei,คิเรอิโฟมล้างมือออริจินัลถุงเติม200มล
132134,918.0,27,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำเจแปนนิสคาเมลเลียขวด200มล.
139345,918.0,27,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวขาวขวดชิ้งค์200มล.
139352,918.0,15,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวใสขวดชิ้งค์200มล.
139360,918.0,23,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำชุ่มชื่นเป็นพิเศษขวด200มล.
213322,394.46,80,เปา,Pao bun jin,เปาซุปเปอร์ซอฟท์400ก.
213397,399.49,31,เปา,Pao bun jin,เปาซุปเปอร์คัลเลอร์400ก.
213256,399.49,47,เปา,Pao bun jin,เปาซุปเปอร์ไวท์400ก.
240739,703.8,5,ลุค,Look,ลุคห้องน้ำ ถุงเติม400มล.ใหม่
292011,396.95,25,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรมะกรูด500มล.ชนิดขวด
292169,523.6,85,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเอ็กซ์ตร้าไฮจีนิคขนาด500มล.ถุงเติม(แพ็ก3)
291021,396.95,134,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรอนามัย500มล.ชนิดขวด
292029,523.59,66,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรมะกรูด500มล.ถุงเติมP3
292060,523.59,24,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรมะกรูด500มล.(ถุงเดี่ยว)
291294,523.59,100,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีสยูซุ ชนิดถุงเติม500มล.
293811,352.74,5,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาว500มล.ชนิดเติม(รุ่นถุงเดี่ยว)
293829,352.75,274,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาว500มล.ชนิดเติม(รุ่นแพ็ค3)
291369,506.83,66,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนิสยูซุชนิดถุงเติม500มล.(แพค3)
162727,1202.74,23,คิเรอิ,Kirei,คิเรอิโฟมล้างมือออริจินอลขวด250+ถุงเติม200มล.
200634,510.0,262,โปร,Pro,โปรบลูพลัส(แดง)450ก.
200667,510.0,28,โปร,Pro,โปรไวท์รีเทิร์น(เขียว)450ก.
327130,2184.49,5,กู๊ดเอจ,GoodAge,กู๊ดเอจแปรงสีฟันทริปเปิ้ลล๊อคไวด์เฮด(แพค3)
279034,1461.99,69,กู๊ดเอจ,GoodAge,กู๊ดเอจโลชั่นลดเลือนจุดด่างดำ100มล.
312017,1215.5,5,กู๊ดเอจ,GoodAge,กู๊ดเอจยาสีฟันเซนซิทีฟชีลด์90ก.
312009,892.5,5,กู๊ดเอจ,GoodAge,กู๊ดเอจยาสีฟันไฮเปอร์ซอลท์90ก.
395004,1053.99,68,กู๊ดเอจ,GoodAge,กู๊ดเอจน้ำยาบ้วนปากไมลด์แอนด์เจนเทิล250มล.
162438,1202.53,55,คิเรอิ,Kirei,คิเรอิโฟมล้างมือออริจินัลขวด250มล
162511,549.1,5,คิเรอิ,Kirei,คิเรอิเจลล้างมือ70เปอร์เซ็นต์50มล.
291120,747.14,10,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีสพีช475มล.ชนิดขวด
